"","Date","Year","Month","New_users_transactions","Returning_users_transactions","New_Users_Revenue","Returning_Users_Revenue"
"267",2019-02-01,2019,"February",0,0,162.07,311.67
"268",2019-02-04,2019,"February",0,0,261.69,333.46
"269",2019-02-05,2019,"February",0,0,375.93,227.79
"270",2019-02-09,2019,"February",0,0,478.85,3344.87
"271",2019-02-10,2019,"February",0,0,1020.12,1025.71
"272",2019-02-17,2019,"February",0,0,444.52,3515.81
"273",2019-02-21,2019,"February",0,0,708.01,807
"274",2019-02-23,2019,"February",0,0,24.35,924.17
"275",2019-02-26,2019,"February",0,0,518.41,828.71
"276",2019-02-28,2019,"February",0,0,1129.13,3856.88
"277",2019-03-14,2019,"March",0,0,2703.13,1965.82
"278",2019-03-18,2019,"March",0,0,395.42,2856.21
"279",2019-03-27,2019,"March",0,0,689.46,328.91
"280",2019-04-04,2019,"April",0,0,1690.82,5350.52
"281",2019-04-20,2019,"April",0,0,273.23,388.95
"282",2019-04-25,2019,"April",0,0,91.75,143.12
"283",2019-04-28,2019,"April",0,0,354.85,2956.3
"284",2019-05-02,2019,"May",0,0,458.54,1427.92
"285",2019-05-06,2019,"May",0,0,310.82,6527.06
"286",2019-05-09,2019,"May",0,0,203.26,2579.88
"287",2019-05-23,2019,"May",0,0,390.06,2320.35
"288",2019-05-27,2019,"May",0,0,128.95,140.07
"289",2019-06-01,2019,"June",0,0,106.61,142.31
"290",2019-06-03,2019,"June",0,0,706.2,4456.56
"291",2019-06-04,2019,"June",0,0,168.51,620.04
"292",2019-06-17,2019,"June",0,0,90.93,8558.18
"293",2019-07-01,2019,"July",0,0,365.67,1640.88
"294",2019-07-05,2019,"July",0,0,393.37,370.93
"295",2019-07-07,2019,"July",0,0,186.87,115.67
"296",2019-07-13,2019,"July",0,0,100.79,240.48
"297",2019-08-09,2019,"August",0,0,364.55,234.2
"298",2019-08-12,2019,"August",0,0,140.67,1429.38
"299",2019-08-20,2019,"August",0,0,452.3,2383.52
"300",2019-08-26,2019,"August",0,0,368.34,360.45
"301",2019-08-28,2019,"August",0,0,766.85,1447.44
"302",2019-08-29,2019,"August",0,0,147.78,168.73
"303",2019-09-02,2019,"September",0,0,76.59,810.95
"304",2019-09-16,2019,"September",0,0,936.2,518.04
"305",2019-09-24,2019,"September",0,0,459.59,460.44
"306",2019-10-08,2019,"October",0,0,2564.85,956.2
"307",2019-10-31,2019,"October",0,0,207.18,1834.53
"308",2019-11-01,2019,"November",0,0,219.66,758.9
"309",2019-11-08,2019,"November",0,0,87.79,546.48
"310",2019-11-10,2019,"November",0,0,0,90.78
"311",2019-11-12,2019,"November",0,0,320.67,295.21
"312",2019-12-26,2019,"December",0,0,551.33,914.46
"313",2019-12-27,2019,"December",0,0,1336.5,1215.37
"314",2019-12-29,2019,"December",0,0,761.94,1169.82
"315",2019-12-31,2019,"December",0,0,1181.7,1055.39
"316",2020-01-07,2020,"January",0,0,247.6,434.06
"317",2020-01-13,2020,"January",0,0,351.26,316.49
"318",2020-01-14,2020,"January",0,0,409.2,1164.56
"319",2020-01-19,2020,"January",0,0,423.29,896.66
"320",2020-01-29,2020,"January",0,0,1962.26,3808.3
"321",2020-02-02,2020,"February",0,0,357.05,882.04
"322",2020-02-04,2020,"February",0,0,326.13,628.85
"323",2020-02-14,2020,"February",0,0,0,155.58
"324",2020-02-17,2020,"February",0,0,117.16,169.45
"325",2020-02-20,2020,"February",0,0,442.17,1007.11
"326",2020-02-28,2020,"February",0,0,919.82,3384.08
"327",2020-02-29,2020,"February",0,0,75.88,3009.03
"328",2020-03-09,2020,"March",0,0,70.55,1962.82
"329",2020-03-10,2020,"March",0,0,673.53,522.15
"330",2020-03-11,2020,"March",0,0,174.13,1138.05
"331",2020-03-15,2020,"March",0,0,192.59,117
"332",2020-03-17,2020,"March",0,0,143.04,668.14
"333",2020-03-18,2020,"March",0,0,218.07,3880.09
"334",2020-03-21,2020,"March",0,0,463.41,372.55
"335",2020-03-25,2020,"March",0,0,952.31,1246.73
"336",2020-03-30,2020,"March",0,0,123.74,1038.36
"337",2020-04-03,2020,"April",0,0,326.03,124.65
"338",2020-04-04,2020,"April",0,0,61.33,156.79
"339",2020-04-13,2020,"April",0,0,308.61,2522.6
"340",2020-04-18,2020,"April",0,0,50.13,346.5
"341",2020-04-20,2020,"April",0,0,225.83,864.76
"342",2020-04-21,2020,"April",0,0,441.77,4679.44
"343",2020-04-25,2020,"April",0,0,271.61,471.24
"344",2020-04-26,2020,"April",0,0,248.09,268.41
"345",2020-05-04,2020,"May",0,0,627.22,83.74
"346",2020-05-12,2020,"May",0,0,171.8,1148.61
"347",2020-05-31,2020,"May",0,0,420.72,6839.54
"348",2020-06-18,2020,"June",0,0,2299.79,2126.42
"349",2020-06-20,2020,"June",0,0,693.61,1806.35
"350",2020-06-22,2020,"June",0,0,610.88,2496.28
"351",2020-06-24,2020,"June",0,0,396.04,987.81
"352",2020-07-02,2020,"July",0,0,1532.21,884.55
"353",2020-07-12,2020,"July",0,0,1136.98,1154.99
"354",2020-07-13,2020,"July",0,0,547.29,1665.71
"355",2020-07-14,2020,"July",0,0,3890.47,2308.46
"356",2020-07-15,2020,"July",0,0,1454.35,5745.28
"357",2020-07-16,2020,"July",0,0,1249.57,4326.98
"358",2020-07-23,2020,"July",0,0,860.9,1012.76
"359",2020-08-02,2020,"August",0,0,531.42,1026.07
"360",2020-08-13,2020,"August",0,0,2376.41,1966.57
"361",2020-08-16,2020,"August",0,0,731.01,8509.96
"362",2020-09-07,2020,"September",0,0,1232.02,2954.56
"363",2020-09-10,2020,"September",0,0,879.04,2101.39
"364",2020-09-13,2020,"September",0,0,1672.63,1453.51
"365",2020-09-14,2020,"September",0,0,552.66,155.6
"366",2020-09-16,2020,"September",0,0,661.03,2944.71
"367",2020-09-18,2020,"September",0,0,2665.38,3274.15
"368",2020-09-21,2020,"September",0,0,1431.26,3845.09
"369",2020-09-25,2020,"September",0,0,599.06,3856.32
"370",2020-09-26,2020,"September",0,0,1613.19,1959.37
"371",2020-09-27,2020,"September",0,0,473.89,1822.52
"372",2020-09-28,2020,"September",0,0,448.54,609.13
"373",2020-09-29,2020,"September",0,0,157.31,856.85
"374",2020-09-30,2020,"September",0,0,1094,2748.02
"375",2020-10-01,2020,"October",0,0,1006.17,2994.63
"376",2020-10-02,2020,"October",0,0,1107.2,2889.86
"377",2020-10-03,2020,"October",0,0,2246.13,1504.13
"378",2020-10-04,2020,"October",0,0,1602.6,1899.87
"379",2020-10-05,2020,"October",0,0,366.7,656.49
"380",2020-10-23,2020,"October",0,0,669.97,887.78
"381",2020-11-01,2020,"November",0,0,1268.79,1754.79
"382",2020-11-02,2020,"November",0,0,904.85,8297.06
"383",2020-11-08,2020,"November",0,0,1217.73,1903.33
"384",2020-11-10,2020,"November",0,0,1549.29,2906.1
"385",2020-11-22,2020,"November",0,0,1158.8,3928.31
"386",2021-01-31,2021,"January",0,0,640.51,379.92
"387",2021-02-06,2021,"February",0,0,872.85,538.02
"388",2021-02-13,2021,"February",0,0,514.17,4787.05
"389",2021-02-23,2021,"February",0,0,1020.92,2244.61
"390",2021-02-26,2021,"February",0,0,314.84,1397.46
"391",2020-04-19,2020,"April",1,0,374.95,400.44
"392",2019-02-20,2019,"February",1,0,942,1256.39
"393",2019-02-14,2019,"February",1,0,523.08,607.83
"394",2021-02-21,2021,"February",1,0,527.4,1131.92
"395",2020-05-03,2020,"May",1,0,5697.89,7022.68
"396",2018-10-29,2018,"October",1,0,2138,10170.15
"397",2020-08-12,2020,"August",1,0,4251.95,5572.02
"398",2020-06-03,2020,"June",1,0,2010.91,2995.17
"399",2020-10-20,2020,"October",1,0,1041.01,7594.86
"400",2020-11-20,2020,"November",1,0,1096.59,2495.94
"401",2020-01-10,2020,"January",1,0,997.63,2276.14
"402",2019-05-30,2019,"May",1,0,1886.52,11683.3
"403",2018-11-03,2018,"November",1,0,1930.55,15228.55
"404",2020-10-18,2020,"October",1,0,2442.96,11417.31
"405",2019-02-24,2019,"February",1,0,2117.55,2522.37
"406",2020-01-25,2020,"January",1,0,3215.28,8697.48
"407",2019-06-29,2019,"June",1,0,1622.9,2144.37
"408",2019-09-05,2019,"September",1,0,1790.04,2591.32
"409",2020-06-08,2020,"June",1,0,2638.27,8027.5
"410",2019-02-13,2019,"February",1,0,1675.47,9061.83
"411",2018-10-26,2018,"October",1,0,1918.12,6995.4
"412",2019-03-04,2019,"March",1,0,2387.11,3794.82
"413",2019-05-05,2019,"May",1,0,1521.1,4486.67
"414",2019-05-19,2019,"May",1,0,1019.1,1442.98
"415",2019-06-02,2019,"June",1,0,1124.88,1473.74
"416",2019-07-20,2019,"July",1,0,1435.68,2553.27
"417",2019-10-04,2019,"October",1,0,844.46,4246.67
"418",2019-11-11,2019,"November",1,0,675.18,7338.72
"419",2019-11-24,2019,"November",1,0,301.34,600.48
"420",2019-12-24,2019,"December",1,0,412.27,418.56
"421",2020-02-12,2020,"February",1,0,275.21,441.4
"422",2020-02-26,2020,"February",1,0,156.64,1269.62
"423",2020-03-20,2020,"March",1,0,336,1219.53
"424",2020-05-05,2020,"May",1,0,758.12,3333.42
"425",2020-05-09,2020,"May",1,0,114.26,577.38
"426",2020-05-14,2020,"May",1,0,435.29,384.7
"427",2020-12-02,2020,"December",1,0,248.16,228.79
"428",2021-02-19,2021,"February",2,0,360.36,92.81
"429",2021-03-08,2021,"March",1,0,548,2440.07
"430",2019-03-24,2019,"March",1,0,781.15,1752.2
"431",2019-07-04,2019,"July",1,0,3465.66,2306.77
"432",2019-07-28,2019,"July",1,0,1868.14,2261.62
"433",2019-09-04,2019,"September",1,0,1744.48,1904.64
"434",2018-10-21,2018,"October",2,0,697.92,1446.48
"435",2019-09-11,2019,"September",1,0,195.25,237.77
"436",2019-09-29,2019,"September",1,0,600.87,972.74
"437",2020-01-28,2020,"January",1,0,1190.76,2809.47
"438",2020-03-03,2020,"March",1,0,2269.54,2424.06
"439",2021-02-14,2021,"February",1,0,900.4,4715.54
"440",2020-08-24,2020,"August",1,0,1742.78,2989.95
"441",2020-08-27,2020,"August",1,0,765.83,4319.69
"442",2019-01-07,2019,"January",1,0,363.19,228.15
"443",2019-10-03,2019,"October",1,0,317.45,1041.04
"444",2021-01-30,2021,"January",1,0,932.55,1953.41
"445",2019-06-11,2019,"June",1,0,934.73,2794.08
"446",2019-07-12,2019,"July",1,0,1464.13,4666.42
"447",2020-01-12,2020,"January",2,0,914.38,4603.88
"448",2020-03-05,2020,"March",1,0,1025.19,4948.49
"449",2020-05-27,2020,"May",1,0,674.47,2005.54
"450",2018-12-26,2018,"December",1,0,756.55,425.63
"451",2019-08-22,2019,"August",1,0,1086.13,4070.87
"452",2019-03-05,2019,"March",1,0,675.68,2267.38
"453",2019-01-15,2019,"January",1,0,923.32,3807.35
"454",2019-07-08,2019,"July",1,0,1315.88,4011.6
"455",2020-10-13,2020,"October",1,0,1599.89,1491.5
"456",2020-11-30,2020,"November",1,0,529.55,342.63
"457",2020-02-23,2020,"February",1,0,479.17,1227.08
"458",2020-10-28,2020,"October",1,0,1237.43,4771.09
"459",2019-10-05,2019,"October",1,0,1377.59,3441.71
"460",2019-09-28,2019,"September",1,0,1084.75,1980.72
"461",2020-04-01,2020,"April",1,0,651.41,3028.47
"462",2020-05-13,2020,"May",1,0,900.3,2292.73
"463",2020-06-19,2020,"June",1,0,477.42,87.76
"464",2018-10-17,2018,"October",1,0,189.06,288.85
"465",2018-10-25,2018,"October",1,0,1248.21,4540.44
"466",2018-10-28,2018,"October",1,0,2475.28,6350.07
"467",2018-11-18,2018,"November",1,0,828.77,4717.51
"468",2018-11-20,2018,"November",1,0,1458.78,1856.27
"469",2018-12-31,2018,"December",1,0,1089.4,2873.79
"470",2019-01-17,2019,"January",1,0,671.83,216.55
"471",2019-04-06,2019,"April",1,0,250.27,255.62
"472",2019-04-13,2019,"April",1,0,1041.2,883.08
"473",2019-04-19,2019,"April",1,0,1294.5,6753.72
"474",2019-05-25,2019,"May",1,0,1330.24,3510.11
"475",2019-05-31,2019,"May",1,0,2797.04,7816.96
"476",2019-06-25,2019,"June",1,0,1903.73,3077.75
"477",2019-08-13,2019,"August",1,0,1356.09,421.23
"478",2019-10-22,2019,"October",1,0,800.03,411.97
"479",2020-03-23,2020,"March",1,0,1080.1,1629.3
"480",2020-04-28,2020,"April",1,0,930.78,3316.52
"481",2020-06-23,2020,"June",1,0,953.57,6785.56
"482",2020-10-07,2020,"October",1,0,1107.6,3075.45
"483",2019-08-03,2019,"August",2,0,2155.66,6609.41
"484",2020-01-27,2020,"January",1,0,920.01,657.91
"485",2019-01-03,2019,"January",2,0,408.82,681.63
"486",2018-11-07,2018,"November",1,0,1255.86,6671.31
"487",2019-01-24,2019,"January",1,0,571.25,2788.57
"488",2020-02-03,2020,"February",2,0,740.38,5860.27
"489",2021-02-01,2021,"February",1,0,1331.53,4454.74
"490",2015-08-01,2015,"August",1,0,6267.68,4472.91
"491",2020-02-05,2020,"February",1,0,499.51,5861.47
"492",2021-02-27,2021,"February",2,0,1543.13,727.45
"493",2019-01-25,2019,"January",1,0,1247.44,10724.53
"494",2019-02-19,2019,"February",1,0,945.83,14737.06
"495",2019-07-17,2019,"July",1,0,1948.39,1243.77
"496",2020-10-09,2020,"October",1,0,2264.79,5302.55
"497",2020-10-06,2020,"October",1,0,2028.78,932.99
"498",2019-09-13,2019,"September",1,0,839.87,930.69
"499",2021-01-28,2021,"January",4,0,313.75,327.99
"500",2019-10-19,2019,"October",1,0,1517.38,4115.7
"501",2020-03-16,2020,"March",1,0,1146.12,5812.16
"502",2020-09-09,2020,"September",1,0,876.65,2032.47
"503",2018-11-04,2018,"November",1,0,2455.11,4128.02
"504",2019-03-06,2019,"March",1,0,1086.01,2152.11
"505",2019-10-28,2019,"October",2,0,266.05,1109.71
"506",2021-03-07,2021,"March",2,0,443.66,793.47
"507",2020-03-19,2020,"March",2,0,1245.23,3164.27
"508",2020-05-22,2020,"May",1,0,899.83,4030.74
"509",2021-03-06,2021,"March",3,0,1933.81,5565.26
"510",2019-02-27,2019,"February",1,0,1853.59,1708.43
"511",2018-11-10,2018,"November",1,0,2178.44,5178.58
"512",2020-03-28,2020,"March",1,0,162.46,359.62
"513",2019-03-28,2019,"March",2,0,396.99,186.97
